date_found,last_seen,id,reg_id,published,name,org,price,deadline,status,cpvs,label,attachment_count,pdf_count,excel_count,image_count,link
"2026-06-02","2026-08-15 17:24","689312","NAT260011485","02.06.2026","45100000-Site preparation work","Tbilisi Nadzaledevi District Gamgeoba","635`307.00 GEL","23.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689312"
"2026-06-02","2026-08-15 17:24","688527","NAT260011501","02.06.2026","45100000-Site preparation work","Self-governing Entity Zestafoni Municipality","85`211.00 GEL","15.06.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688527"
"2026-06-03","2026-08-15 17:24","687628","NAT260011606","03.06.2026","45100000-Site preparation work","LEPL ""Batumi boulevard""","7`999.00 GEL","16.06.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687628"
"2026-06-04","2026-08-15 17:24","688565","NAT260011656","04.06.2026","45100000-Site preparation work","Kvareli Municipality","38`411.00 GEL","15.06.2026","Selection/Evaluation","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688565"
"2026-06-04","2026-08-15 17:24","689278","NAT260011669","04.06.2026","45100000-Site preparation work","Kazbegi Municipality","178`138.00 GEL","15.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689278"
"2026-06-04","2026-08-15 17:24","688416","NAT260011677","04.06.2026","45100000-Site preparation work","Kaspi Municipality","119`225.00 GEL","24.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688416"
"2026-06-05","2026-08-15 17:24","689719","NAT260011782","05.06.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","143`269.00 GEL","22.06.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689719"
"2026-06-05","2026-08-15 17:24","689798","NAT260011797","05.06.2026","45100000-Site preparation work","Tbilisi Samgori District Gamgeoba","616`707.00 GEL","26.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689798"
"2026-06-05","2026-08-15 17:24","689847","NAT260011799","05.06.2026","45100000-Site preparation work","Tbilisi Samgori District Gamgeoba","581`608.00 GEL","29.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689847"
"2026-06-05","2026-08-15 17:24","689676","NAT260011807","05.06.2026","45100000-Site preparation work","Tbilisi Vake District Gamgeoba","819`790.00 GEL","26.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689676"
"2026-06-05","2026-08-15 17:24","689210","NAT260011831","05.06.2026","45100000-Site preparation work","Chokhatauri Municipality","30`856.00 GEL","16.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689210"
"2026-06-05","2026-08-15 17:24","688983","NAT260011838","05.06.2026","45100000-Site preparation work","Tbilisi City Hall","157`566.00 GEL","25.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688983"
"2026-06-05","2026-08-15 17:24","689806","NAT260011847","05.06.2026","45100000-Site preparation work","Municipality Of Poty City","297`054.00 GEL","16.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689806"
"2026-06-08","2026-08-15 17:24","689318","NAT260011877","08.06.2026","45100000-Site preparation work","ninotsminda municipality city hall","50`000.00 GEL","22.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689318"
"2026-06-08","2026-08-15 17:24","687019","NAT260011905","08.06.2026","45100000-Site preparation work","Tbilisi City Hall","3`199`973.00 GEL","29.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687019"
"2026-06-09","2026-08-15 17:24","688973","NAT260011963","09.06.2026","45100000-Site preparation work","Kvareli Municipality","58`315.00 GEL","22.06.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688973"
"2026-06-11","2026-08-15 17:24","690534","NAT260012068","11.06.2026","45100000-Site preparation work","Tbilisi Chugureti District Gamgeoba","250`000.00 GEL","22.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690534"
"2026-06-11","2026-08-15 17:24","689177","NAT260012073","11.06.2026","45100000-Site preparation work","Khashuri Municipality","129`844.00 GEL","23.06.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689177"
"2026-06-11","2026-08-15 17:24","690477","NAT260012112","11.06.2026","45100000-Site preparation work","zugdidi municipality city hall","124`161.00 GEL","22.06.2026","Cancelled","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690477"
"2026-06-11","2026-08-15 17:24","689248","NAT260012144","11.06.2026","45100000-Site preparation work","JSC ""Georgian Oil and Gas Corporation""","455`872.00 GEL","03.07.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689248"
"2026-06-11","2026-08-15 17:24","679322","NAT260012146","11.06.2026","45100000-Site preparation work","Adigeni Municipality","26`268.00 GEL","23.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=679322"
"2026-06-12","2026-08-15 17:24","690922","690922","12.06.2026","45100000-Site preparation work","Special Penitentiary Service","266`961.00 GEL","22.06.2026","","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690922"
"2026-06-12","2026-08-15 17:24","690936","690936","12.06.2026","45100000-Site preparation work","Special Penitentiary Service","415`620.00 GEL","22.06.2026","","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690936"
"2026-06-15","2026-08-15 17:24","689065","NAT260012262","15.06.2026","45100000-Site preparation work","Kvareli Municipality","42`953.00 GEL","26.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689065"
"2026-06-15","2026-08-15 17:24","690998","NAT260012312","15.06.2026","45100000-Site preparation work","Tbilisi Gldani District Gamgeoba","602`527.00 GEL","07.07.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690998"
"2026-06-15","2026-08-15 17:24","690990","NAT260012313","15.06.2026","45100000-Site preparation work","Tbilisi Gldani District Gamgeoba","622`423.00 GEL","08.07.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690990"
"2026-06-16","2026-08-15 17:24","690697","NAT260012328","16.06.2026","45100000-Site preparation work","The national Museum of Georgia","35`000.00 GEL","29.06.2026","Finalization of contract","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=690697"
"2026-06-16","2026-08-15 17:24","686159","NAT260012329","16.06.2026","45100000-Site preparation work","Tbilisi Vake District Gamgeoba","1`064`006.00 GEL","07.07.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686159"
